,Airline,Review,Scores,Cluster
14,Wizz,"I booked return flights for my family from London Gatwick to Budapest, but after the booking was confirmed, we discovered that the flights had been changed to Luton Airport instead. What’s worse, the airline’s app still showed “LGW” for both outbound and inbound flights, which is completely misleading. Only when you click into the inbound details does it reveal Luton — a major and unacceptable discrepancy.I called customer service and waited nearly 40 minutes just to speak to someone. When I finally got through to a representative named Mr. Dmytro, he was extremely rude, dismissive, and unhelpful. I calmly explained the issue, but he showed no willingness to assist. He kept insisting it was my fault and told me to contact the booking company. His tone was more like a threat than customer service — saying things like “if you have no other questions, I will hang up” and then actually did just that within 10 minutes.Absolutely no attempt to resolve the problem or even act like he cared. I’ve never been treated so poorly by any airline representative. This kind of customer service is a joke — and a warning sign.This was my first and definitely last time dealing with this airline. I don’t care how good the in-flight service may be — if the ground support is this bad, it’s not worth the risk.Avoid at all costs.",-0.7292,1
16,Wizz,"Appalling service from Wizz. During the Gatwick South terminal shutdown on Friday 22nd of November, the plane took off leaving 30+ passengers at the security gate. The gate was announced only 10 minutes before and the airport had just recently reopened not giving enough time to go through security. The person at the gate was despicable and got angry to the group trying to find a solution to get one the plane as it was still there, take off in 20 minutes.Very disappointing service, I will never use Wizz again, avoid if you can.",-0.7299,3
17,Wizz,"No customer service, basically scammed us into paying more, just because they told us to check in by a date and then couldn’t even let us check in cause their website shows an error code.",-0.5994,1
22,Wizz,"Worst experience ever! After the gate opened we had to wait in the sun for an hour and the plane didn't even land yet from previous flight!! Horrible service, bad attitude!",-0.9227,3
24,Wizz,The wort company I had ever fly - airport in Lisbon is disaster - one stand for give your language?!?!?!?!?! How you treat your customer!!!!!!!! Drama company keep as far as you can !!!!!!!!,-0.6734,3
25,Wizz,"Read before you book you flight. I have flown with wizz 3 times. First 2 times no problem but my friends booked it. This trip to gdansk, I payed and didnt book seats. When ariving to the airport we had to pay 540 sek per person to check in because I had not checked in online. I tried to check in online but didnt work, maybe i tried to do it to early (1-3 days before) but no error massage or further instructions via the website. The staff on Landvetter said ""your problem"", some of the lowprice companys do this and also asked if I can provide screenshots that it didnt work. Problem with screen shots is that the website doesnt provide error message. When at the airport they said only one plasticbag with fluids which was new to me.When in gdansk I try to check in online for the home trip. I spent 1 hour on trying to check in, and it feels like they programmed the site to by anoying/reload/faulty error message or no error message so that you give up and pay extra. (Had the same expierience at home withGood internet). The site said that my own phone number already was registred so i used my Girlfriends workphone and suddenly it worked. When at gdansk airport they told me to measure my bag at which i responded i travelled 2 times before with no problem, and tried to shove it down and the staff said in a snarky voice ""maybe you shouldt put so many things in the bag"". All and all its cheap, unless you fuq up or they decide to mess with you. Service is good on the airplane and pilots are good. Would not recommend.",-0.9458,2
27,Wizz,Problems to get the money back. Flight changed to 10h earlier time,-0.4019,1
29,Wizz,Had mine 1.600£ Prada Top stolen and dresses two weeks ago from this airline company staff from my logged. It’s ridiculous!!! ,-0.6981,2
30,Wizz,"Website...Cheap flight Gatwick to KrakowBut no.., on starting to book....Its Luton to Katowice.stop wasting my time Wizzair !!!On a previous trip they were ok but this is amateurish, not stating clearly where they are flying from and to.",-0.614,3
31,Wizz,"Absolutely ridiculous service and a complete rip off, they will charge you for every item and their web / app check in doest work and ended up paying €50 per person x3  as we weren’t check in due to their webpage being down. Do not use.",-0.4201,2
32,Wizz,"Dear Mr J Viradi,I am writing to you directly to express my deep dissatisfaction with the way Wizz Air has handled my recent complaint on behalf of my family and myself. The conduct of your company throughout this process has been nothing short of disgraceful. Your complaints team has demonstrated dishonesty, a complete lack of accountability, and a shocking disregard for the seriousness of the incident we experienced.The response we received from Wizz Air claimed the matter was ""resolved"" and stated that we had voluntarily cancelled our flight. This is categorically false.We were denied boarding after being verbally abused and threatened by two of your gate agents. We did not cancel our flight. We were forced not to travel due to the unacceptable and intimidating behaviour of your staff. Furthermore, for such a serious incident, which involved a police report, CCTV footage, witnesses, and medical visits following the event, we received no meaningful explanation, no investigation, and no opportunity to appeal. The claim was simply closed, as though our distress and experience were irrelevant.Let me be absolutely clear: I have witness statements, CCTV evidence, and a police report number. I will not allow this matter to be swept under the rug. We have made repeated attempts to seek resolution through your complaints procedure, only to be met with evasive responses and a total lack of accountability.I demand to be compensated for all of the distress, harm and time wasted this has caused I would like to know what disciplinary action, if any, has been taken against the staff involved. These individuals should not be allowed to continue interacting with the public, as their actions were not only unprofessional, but dangerous. Their conduct caused extreme distress to my family, ruined our holiday, and left us shaken.This experience reflects directly on your leadership and the standards set across Wizz Air, both at the customer service level and among your ground staff at Gatwick. If this is representative of how your airline treats passengers, especially those in need of medical care or compassion, then your company is failing on the most basic level of decency.I have logged an investigation with my credit card company for the cost of the tickets as my husband paid for the flights and didn't receive the good /services. I yet have been left with other purchases such as flights and hotels food etc... a result of being denied boarding which you are responsible to compensate together with all the distress caused.If I do not receive a proper investigation and compensation for the emotional damages caused, I will take this public. I have access to a large network of respected individuals in the media, including senioriournalists, editors, and newspaper owners who would be more than willing to give this story the attention it deserves.I would appreciate your response.Please refer to your email located on line it’s your gmail .",-0.9808,1
33,Wizz,I paid for a 10 kg baggage in advance but was forced to pay £70 again at the airport because of unclear instructions. I contacted customer service but they closed the case without resolving it. Very disappointing experience with Wizz Air. I will now escalate this to AviationADR.,-0.9394,2
34,Wizz,"Wizz Air is by far the worst airline I have ever flown with. Hidden fees everywhere, terrible customer service, and zero accountability when things go wrong. They lure you in with cheap ticket prices, then charge you outrageous amounts for basic things like hand luggage or check-in. My experience felt like a complete scam from start to finish. I will never use this airline again, and I strongly advise others to avoid them at all cost ",-0.872,3
35,Wizz,"Worst company ever.... just to take money from your pockets, they made the box for bag so small so you can't fit just a a small bag..and they charge you in airport a price of another ticket for ""wizz priority""...Bad members of staff and also the administrative desk...",-0.756,3
37,Wizz,Absolutely sheeiiite. Rude ground staff made no attempt to engage with passengers and overcharged for so-called oversized carry on luggage despite being allowed to travel with the same bag on the outward journey.,-0.4728,2
39,Wizz,"Flight was cancelled 2 days before travel, did not get any email. Requested fund through online travel agent who processed the refund, however bought an extra luggage through them direct. They refused to refund as I am not the one who made the booking, they want the details of the travel agent which I don't have - they were happy to take the money from card for the luggage without their details but refusing now to give me refund despite cancelling my flight.Have to make a claim through my bank now",-0.3098,1
40,Wizz,Had a flight from bucarest to luton tried to checkin 24 hours before tried many times up until 2 hour before said didn't recognize my details arrived airport went to checkin no problem cost another €48 euro tried to claim back when I arrived home they said it was my fault. And wouldn't refund ,-0.765,1
42,Wizz,"This used to be a decent airline at some point but it became so bad, I flew to Romania 🇷🇴 from London, their policy of buying checked in baggage is very smart and it fooled me so I was forced to pay for another baggage as they are selling it per item as opposed per weight. The flight had delays, and once inside the plane people were changing seats and had to argue with 2 different people without the staff to intervine as they took the seat I was assigned 🤯 the plane was so crowded and dirty, for the money spent on this occasion only I could have booked an economy class easily with better service and comfort ",-0.8693,3
43,Wizz,Refunded £63 as a voucher of £168 cost of a cancelled ticket!Rip off!A rubbish low cost airline company which actually is more expensive than the normal ones!Avoid if possible!  ,-0.6449,1
44,Wizz,"Absolutely incompetent, chaotic, unacceptable. I'd rather pay 3x the price for normal, professional service. Booked a flight for 9AM. Got delayed to 11AM, then to 1AM next day. Re-booked for another flight at 7PM. It's 9PM and we didn't even take off yet. We should have basically arrived by now. This unprofessional bunch of retards don't deserve a single cent of my money.",-0.9407,3
45,Wizz,This was our forst flight from Budaoest to Istanbul. I was charged the same price as our ticket for not checking in 3 hours before departure. I will never use them again! A pure scam!!!,-0.7696,3
46,Wizz,"Terrible airline ever existed in the history of humankind, they have no respect for their customers. They just discriminate and threaten their customers.",-0.5859,3
48,Wizz,"The online check-in system was a nightmare. When I added my email, the website says ""the email address has already been given to some other passenger"". I tried several times with a different email without success. I ended up adding a very old email not in used. I took a screenshot of the check-in and that saved me of paying £45 or 230 zloty at Warsaw today. My flight was from Warsaw to Luton airport (London). The Wizzair staff at the desk were absolutely unhelpful. They said they ""work for the airport, not for the airline"".moving forward, I will avoid this airline at all costs.",-0.3814,2
49,Wizz,Cancelled my reservation - despite still selling this ticket online. Refund is Wizz air credits?? The absolute worst airline you can fine. Terrible booking system with many hidden costs. Avoid if at all possible. ,-0.8156,1
50,Wizz,"De ce nu acceptă animale de companie la bord?I-am sunat în urmă cu o săptămână și nu a răspuns nimeni la telefon. Sunt de o nesimțire ce nu am mai văzut, nici măcar nu răspund la telefon. Am sunat la numarul general de contact al aeroportului, unde într-un mod foarte sictirit și nesimțit mi s-a spus că ""asta este, ei nu iau animale de companie la bord, este decizia lor, nu a ta"". Apoi, cucoana mi-a trântit telefonul în nas. Why don't they accept pets on board?I called them a week ago and no one answered the phone. They are as rude as I've never seen, they don't even answer the phone. I called the general contact number of the airport, where in a very rude and insensitive way I was told that ""that's it, they don't take pets on board, it's their decision, not yours"". Then, the woman slammed the phone in my face.",-0.8912,2
51,Wizz,Absolutely disgusting behaviour from staff and no whatsoever communication. Always late and the seats are not same the show on the application. Planes are overbooked and people are sent back home as no space in the planes,-0.796,3
53,Wizz,I wish could have given no star at all. Worst administration. I had a brain bleed and provided all documents and they closed my ticket saying they didnt receive any information. I had all other 4 flights fully refunded by other airlines. ,-0.5574,3
55,Wizz,Guy in Kaunas Airport checkin board failed to remind me i have 2 luggage to register not only one. Sure he can see how many luggages to register. But kept quiet So he can charge £70 by the gates ,-0.3881,2
56,Wizz,AVOID They charge even if you cancel a bagThey charge even if you cancel a bag. Do not trust them and if you can fly with any else I would. They do not care about UK Law and think their policy overrides the Unfair contract Terms Act.They seem to forget the Easyjet case!,-0.9388,2
57,Wizz,let me have it I try to do it online and it didn't work I tried to speak to a representative and it took forever until  I could find their customer service number. when I finally did the customer service agent couldn't have been worst!!! An extremely rude representative who did not speak English clearly was rude the entire conversation and hung the phone up on my face when I tried to understand what he was talking about. That's after a very unsatisfied attempts I had while trying to solve my flight cancellation issues on my own!I can't think of a worst customer service experience,-0.6505,1
59,Wizz,"On January 29, Wizz Air cancelled the Venice–Barcelona flight in the middle of the night, leaving families with children stranded, without proper assistance, in the cold, and with the first available alternative flight only on January 3.Faced with this unacceptable situation, I was forced to purchase another flight at my own expense.I am now trying to claim reimbursement for the expenses incurred and the compensation provided under EU Regulation EC 261/2004, but it is practically impossible to submit a complaint:the Wizz Air account automatically logs me out every time I try to access the complaint sectionthe phone number +34 800 600 261, advertised as free, does not provide real support: agents ask to call again or an automated message reports that all lines are busyThis situation gives the impression of a system designed to prevent passengers from exercising their rights.Extremely negative experience. Based on what happened, I strongly discourage flying with Wizz Air, especially for families and travelers with children.",-0.8457,1
60,Wizz,"Every time I fly with WizzAir, one thing is for sure: they will deliver to the promise of making the worst experience you have always the next. Just came out of a 1h30-delayed flight to Lisbon. Waiting for 20 minutes on the plane because staircase forgotten to be brought, buses not here yet, and all the same type of insanely disorganization they operate in, translated into utter disrespectful for customers. They really abuse a thousand percent the fact most people cant afford higher prices: I guess the motto is to make it lousy so we're ashamed we don't make enough money to fly with a different, decent airline. I'm always flabbergasted, the level of incompetence is really bizarre. ",-0.9621,3
61,Wizz,"EUROPE.....PLEASE READ REVIEWS! Nobody else anywhere in the developed world would allow this lack of service, rudeness, incompetence, obvious lack of training... not to mention the obvious safety defects.that allow a burning type smell in the cabin to be normal.",-0.6948,3
62,Wizz,"Sort yourselves or Wizz Air! I will never book a flight with you again. I was just in the process of booking flights from Leeds to Bucharest. I got all the way through to the checkout, clicked to confirm and pay, approved the payment on my card, for your site to then say there was an issue at your end and to please try booking again. I did this, only to find the price of the flights and the add on's had increased. Budget airlines always have a reputation for finding sneaky ways to charge you extra and in general it has never bothered me too much. But this was crossing the line. I will never be booking with you again and am no longer going to go on my planned holiday, purely because of our bad experience with you.",-0.3315,2
63,Wizz,"The staff at Rome Airport needs to be retrained, or at least given basic instruction in customer service, etiquette, and how to behave civilly even if they do not speak the language. In particular, the lady with glasses who was scanning passports today for the Rome to London flight of 6:45 was extremely unprofessional, rude and honestly. Willing to volunteer or contribute toward her training and education if needed.",-0.5956,3
64,Wizz,"Very bad service , bad people  ,but unfortunately no alternative to eastern countries. They deserve boycott ",-0.9126,3
65,Wizz,Rubbish airline. Can’t download boarding passes via their website so forced to pay extra in airport. Really shit airline that does its best to charge you extra at every stage of the process. Hope they go bust.,-0.3232,3
66,Wizz,"I am writing this review with deep disappointment regarding a recent experience my husband and I had during a flight with your airline. While we understand that airline staff often work under pressure, we were genuinely shocked by how the situation was handled by certain members of the crew.My husband was spoken to in an unprofessional and aggressive manner by one of the crew members, who made inappropriate and hostile remarks, including saying, “I’m not here to help you” and “I’ll show you.” This behaviour was completely uncalled for and created a very uncomfortable and distressing situation.saying( I will show you)  means  he is threating my husband What was even more troubling is that the crew leader did not give us the opportunity to explain what had happened. Instead, she appeared to side with her colleague without hearing our side, which only escalated the tension and led to my husband being removed from the flight. This decision felt unfair and unsupported by any clear reason.As a result, my husband had to book another flight at his own expense, which added both emotional and financial strain to our journey.We believe that every passenger deserves to be treated with dignity and fairness, regardless of any misunderstandings or miscommunications. We hope the airline will take this feedback seriously and ensure that all staff members are held to the highest standards of professionalism and customer care.We are open to further discussion if needed and would appreciate a proper investigation into this matter. we need a serious and fast investigation about this   I am more than happy to mention the flight number with the crew names ",-0.9202,2
67,Wizz,"Dear Wizz Air,I am extremely disappointed with the experience I had today. My flight to Lithuania was originally scheduled for 14:20 but was delayed to 15:20. I arrived at the gate at 15:00, only to find it already closed. This happened at Eindhoven Airport.I attempted to contact Wizz Air through your website, but every time a representative responded, they quickly closed the conversation before resolving my issue. As a result, I am still stranded at Eindhoven Airport.This level of service is unacceptable. I expect an explanation and a resolution to this situation. Based on this experience, I will not be flying with Wizz Air again.",-0.5182,1
71,Wizz,"They now charge for calls, so it's no longer free. There's no live chat support either. It's clear they’re becoming a greedy company. They recently launched the 'All You Can Fly' promotion with enticing terms, only to later change the terms and conditions after people had already paid. This kind of bait-and-switch tactic is misleading and unethical. It’s disappointing to see a company stoop to such practices.",-0.7474,1
72,Wizz,"Wizz Air has been the worst airline I’ve ever flown with. I received a message (in Hungarian, which I don’t speak) saying my flight was delayed by two hours. Based on that, I arrived at the airport accordingly—only to be denied check-in and told it had closed before I even arrived.Despite the delay being their fault, I was forced to pay £120 for a new flight. Shockingly, they resold my original seat to another passenger who had experienced the exact same issue. This shows a complete lack of integrity and coordination.To make matters worse, there’s no proper way to file a complaint—no working email, just a form and a chat system that disconnects. It feels like they’ve made it intentionally difficult to hold them accountable.Wizz Air’s handling of passengers is unacceptable. If I could give zero stars, I would. They should be investigated and penalised for these practices.",-0.9705,2
73,Wizz,Utterly awful. Hidden fees awkward check in. Believe me Ryanair look awesome compared. Check in online didn't work. And then you get charged for the inconvenience.,-0.4754,0
78,Wizz,"I was denied boarding on my flight from Turkey to London because Wizz Air had overbooked the flight. I know this happens as I’ve worked at an airport before, but it’s still such a greedy and unfair practice. I didn’t hold it against them at first and just wanted my compensation sorted.I filled out the online form and was contacted by a staff member named Anatolii Engovatov, who was initially very responsive. On the 9th of October, he confirmed they had everything they needed from me. I thanked him and asked when the payment would be released, but they completely ignored my emails on the 9th, 10th and 13th. After getting no reply for days, I called customer service and was on hold for over an hour and a half. When I finally got through to a lady named Vasant, she was rude, impatient, and clearly didn’t care. When I asked her to wait two minutes while I got my booking reference, she said, “You’ve got one minute, I’ve got to go, the line is busy,” even though I had waited 90 minutes to speak to her. When I asked what department she worked in, she refused to say, only replying that she “works on the phones.”After wasting almost two hours, I still had no update. Out of frustration, I emailed again on 16th October saying I would be leaving a one-star review, and within 22 minutes I suddenly got this reply from Anatolii:“Dear Clients,The payment can be released within 30 days.Best regards,Anatolii EngovatovCustomer Service Department.”So after weeks of being ignored, they only replied when I mentioned a bad review. That says everything about how Wizz Air treats its customers. Both people I dealt with showed zero care or professionalism. I was left stranded in another country, lost a day’s pay from work, and had to chase them endlessly for what I was owed. One star is being generous.",-0.9678,1
79,Wizz,"I was using Wizz for last 5 years and it was like every lowcost company, but as from last year till now their unprofessionalism is beyond the charts! Constant delays, and we talk about 6-9 hours at times! But today was a cherry on top: while mobile boarding pass are not accepted in Zvartnotz airport, and I'm forced to go through an ordianary check in airport for last 3 years, today Wizz fined me 60 eur for not passing mobile check in claiming it's mandatory, although I have never passed mobile check in this airport for last 3 years and it was fine, but today is a No No, just a lame excuse to get extra money. I spent thousand plus on Wizz, they will not see a penny from now on! ",-0.8846,2
81,Wizz,"This has been one of the worst travel experiences I’ve had. It appears that Wizz Air is selling more tickets than there are seats available on the aircraft. Passengers pay for their tickets, plan their travel, and even purchase additional services like auto check-in, yet when the time comes to travel there is confusion and uncertainty about whether you will actually be able to board the flight you paid for.This kind of practice is unacceptable. Customers should not have to deal with stress and uncertainty because an airline chooses to oversell flights. It shows a complete lack of respect for passengers’ time, money, and travel plans.I paid for my ticket and additional services expecting a smooth process, not to be put in a situation where I feel like my seat may not even exist despite having a confirmed booking.This matter will not simply be ignored. I will be pursuing this further and will be seeking compensation for the inconvenience and disruption caused. Airlines must be held accountable when they fail to provide the service that customers have paid for.Very disappointing and certainly not the level of service passengers deserve.",-0.962,2
83,Wizz,Just rubbish! I would highly avoid. Never flying with them again. Literally got scammed to pay €70 euros at the gate due to having not having my 10kg bag checked in. I paid for it online before my flight but all because it wasn’t checked in I got charged money. Not even angry at this point more disappointed that they are able to do this to people.,-0.6678,2
84,Wizz,We bought tickets then for some reason we have to cancel them now its been more then 6 weeks and they are not issuing our refund customer service not helping at all.,-0.4382,1
85,Wizz,Do not use. This airlines hidden charges are absolutely ridiculous. Me and my husband ended up spending approx £200 extra due to their hidden fees. They give you the worst seats so you pay for better. People were separated from their children because they chose random allocation. At least put people together in your randomised option. They charge you to check in with someone just writing in a note book when you could have checked in yourself without having to que up in ridiculous long lines. DO NOT use this total rip off airline. This airline targets vulnerable people who need to travel on a budget. Pay your hard earned money to other airlines. ,-0.9055,2
86,Wizz,"shame i cannot leave a 0 star review to this scam company.purchased 3 tickets for me my wife and a 2 month old baby, from uk to Romania and return. checked in without buying priority and guess what ...I was designated seat 4 and she with the baby seat 27, not even a change to ask someone to change seats.For return even better I got seat 9 and she got 34 with the baby, so I had to go and purchase a seat but they would pretend that no other seats were available either close to her or close to me, only to make me pay for 2 seats and not just 1. I changed my mind and refused to pay for 2 seats only to come back few minutes later and check again when suddenly there were seats available next to me (2 seats) and close to her as well. Very cheap tricks to make you pay more.the sad thing is this is the only option for us to use so unfortunately we will have no choice but to use them again. And so it looks like even if a company has 1 star average on trustpilot they still survive because or probably unfair advantage. ",-0.9655,2
87,Wizz,"I booked a ticket with Wizz Plus Fare, ensuring baggage and priority, but Wizz Air’s system issued it incorrectly under Base Fare, removing my benefits and forcing me to rebook. I had to pay £516.98 extra due to their error.Their ODR system failed when I tried to dispute, and customer service ignored my complaint. I have now escalated my case to AviationADR.Wizz Air, if you care about your customers, resolve this issue and refund my money!",-0.4574,2
88,Wizz,"The only flight that doesn't get the permission to land at Dalaman airport due to forest fire. Every other airline land without forest fire issues. We've checked. Diverted to Antalya, and the only option they provide is a four hours bus ride back to Dalaman. Pathetic airline. Avoid at all cost. Update: the whole thing was a scam. They diverted us to Antalya. Told us there are coaches outside waiting to take us to Dalaman airport. After two hours of wait outside the airport, passengers realised it's a scam and people paid from £250 upwards to get private taxis to Dalaman airport. Wizzair are a scam!!! We found out, 15 minutes after we were diverted to Antalya, all other flights landed at Dalaman airport. The only airline that was ""diverted"" was this sick scamming airline. ",-0.9789,3
89,Wizz,"Don't use this airline. They are cheap for a reason. We tried to check in with in 24hrs and there was something wrong with the check in portal so it only went half way, couldn't complete it, kept saying 'error'. Then when we got to the airport counter they told us we haven't checked in and made us pay the fee for not checking in (ticket no longer cheap). They took zero responsibility and did not help to rectify. I would give them ZERO STARS if I could. Checking is a right for passengers and Wizzair should fix their online system.",-0.7881,2
92,Wizz,"Do not do business with this racist and discriminatory company. Their priority is taking as much money as possible, while treating special assistance passengers unfairly and offering no support to those seated at the back of the plane.",-0.3716,3
93,Wizz,"Flight cancelled. Still not refunded over 8 weeks later. When cash has come in for the flight tickets, they still haven’t refunded £100 I paid for 1x checked bag separately. And at no point have I had any communication from the airline. I’ve chased multiple times. Never flying wizz air again. Worst airline and worst customer experience I’ve ever had",-0.9081,1
98,Wizz,"I have never in my life experienced such appalling treatment as I did with WizzAir on November 4, 2024, at Bucharest Henri Coandă Airport. What was supposed to be a simple flight from Bucharest to Paris turned into a nightmare of harassment, intimidation, and unethical overcharging by the WizzAir ground staff.Whilst we were in queue for the check-in, my family and I were targeted by two extremely rude ground staff members who appeared to have no visible identification badges, and when asked for their names, they mumbled and even tried to cover their badges to remain anonymous. The staff member we believe was named “Alexandra Petra” approached us aggressively, demanding we check the size of our bags. We complied immediately, but as we tried to rearrange our items to make them fit, the hostility escalated.We were threatened that our belongings would be thrown in the trash if we even attempted to adjust the contents of our bags. When my partner, who had already passed through, came back to check on us, he was aggressively told he had no right to be there or talk with us and was threatened with missing the flight himself. It was an appalling display of abuse of power, and the staff were openly hostile, intimidating, and entirely unprofessional.What added to the stress and frustration was being coerced into paying for our bags at a supposedly “total” which turned out to be a lie. We were charged more than what we were told the price was, and when questioned, the staff dismissively blamed it on “airport taxes” without any explanation. The lack of transparency was deeply unethical.To make matters worse, we were told our bags would fit in the overhead cabin, but when we boarded, the overhead compartments were full, and we were forced to store our bags under the seats. Ironically, the bags that allegedly couldn’t fit under the seat (according to the ground staff) fit perfectly, further proving we had been unnecessarily charged.This experience was beyond unprofessional—it felt discriminatory, as we were treated like nuisances and spoken to as if we were less than human. The sense of xenophobia and disdain was palpable, and I left feeling humiliated and deeply disturbed.I am a WizzAir Club member, but after this horrifying experience, I will seriously reconsider ever flying with WizzAir again. I demand accountability, an apology, and a full refund for the unjust fees we were forced to pay.WizzAir, you have lost my trust, and I am appalled by the level of misconduct from your staff. To all potential travelers: BEWARE of the abusive treatment at the hands of this airline’s staff. No passenger deserves to be harassed, threatened, and ripped off.",-0.9985,2
101,Wizz,I had an awful experience with Wizzair in Barcelona El prat airport on 20th of August.  I went on holidays via travel company and for some reason they chose Wizz air for our flights to Spain. The queue at El prat airport was terrible. I had only 1 kg over 10kg limit and I had to pay 34EURO. I couldn’t pay at the check in desk because they don’t accept cash do they sent me to their office to the other part of the airport. Then I had to que again just to give a receipt to a rude wizzair worker. I had my little son with me and we were just going back home from our holidays. That was the worst part of our trip.,-0.802,2
102,Wizz,"Upon arrival from Venice at Athens airport, my checked baggage was not delivered, and I immediately filed a loss report at the lost baggage office (PIR report). After waiting more than three weeks, the baggage was finally declared permanently lost.I contacted Wizz Air repeatedly and submitted all required documentation, including a detailed list of the contents. Wizz Air offered a disproportionately low compensation compared to the actual value of the items, which was calculated based on cargo limits rather than passenger baggage...According to the Montreal Convention (1999), compensation for lost passenger baggage should be calculated based on the value of its contents, not cargo limits.Despite my efforts to resolve the matter amicably and request a reassessment of compensation, there has been no meaningful response from the airline.I would not recommend anyone to travel with that company. They are completely unreliable.",-0.3632,2
103,Wizz,"One Star is too much, certain companies should receive minus stars!!I flew with Wizz Air on flight W4 3501 from Timișoara to London Luton on 10 January 2026. The flight was delayed by more than 3.5 hours, with very poor communication and no clear information provided to passengers during the delay.To make matters worse, there was no water available for the toilets on board, which is completely unacceptable and unhygienic. No adequate assistance or care was offered to passengers despite the long delay.Under EU261/UK261 passenger rights, this level of delay should entitle passengers to proper care and potentially compensation, yet the experience showed a clear lack of responsibility and basic service standards.Very disappointing experience. I would strongly caution others and hope Wizz Air improves how it handles delays and passenger welfare.",-0.4888,3
104,Wizz,"We paid for our checked baggage and also paid extra for overweight luggage (the suitcase was slightly over 23 kg). Our baggage was lost! At Larnaca Airport (Cyprus), the Wizz Air staff refused to assist us or help with locating it. After returning from our vacation, Wizz Air has been pretending to “search” for our lost baggage for 2.5 months and refuses to pay compensation or refund the costs!",-0.7339,2
105,Wizz,"Booked flights to Athens 4 months ago for May 2026. Got email on 10-10-2025 cancelling both flights with no explanation. So I'm thinking they know they can get more money for them. So annoying, it's the first time I have used this company. Will not be booking with these again.",-0.7178,1
